Kendal Tau=0.730736145333664
idConference, conferenceName, curRank, curValue, oldRank, NPC
832,DEXA ,636,6,640,2
222,ACM Southeast Regional Conference,395,247,438.5,203.5
3043,LIT ,368,274,438.5,203.5
2326,ICSNW ,442,200,435,207
3085,WIRI ,403,239,435,207
3040,DCEIS ,353,290,435,207
2924,E,399,243,432,210
914,ADBT ,518,124,432,210
3067,TDM ,387,255,432,210
2998,CISM ,407,235,429.5,212.5
3061,P2PKM ,391,251,428,214
3101,Modellierung betrieblicher Informationssyteme,392,250,429.5,212.5
3063,NF2 ,466,176,426,216
2965,Inference Control in Statistical Databases,433,209,426,216
3024,Workflow Management,418,224,423.5,218.5
2999,PODP ,421,221,426,216
3025,ISD ,396,246,423.5,218.5
3109,VDMB ,372,270,419.5,222.5
3089,SOFTEKS Workshops,367,275,419.5,222.5
198,WWW ,575,67,419.5,222.5
3046,EEXTT ,423,219,419.5,222.5
2975,VIEWS ,457,185,414.5,227.5
3087,Enterprise Application Integration,373,269,419.5,222.5
2980,PARBASE ,390,252,414.5,227.5
118,COODBSE ,354,289,414.5,227.5
2625,DBKDA ,351,292,414.5,227.5
2934,OODS ,481,161,408.5,233.5
82,APN ,445,197,408.5,233.5
3094,Object,366,276,419.5,222.5
189,ACSC ,402,240,408.5,233.5
1804,ICADIWT ,346,297,408.5,233.5
3003,Electronic Commerce,488,154,408.5,233.5
3091,Mobile Computing in Medicine,339,304,408.5,233.5
3114,FDBS ,363,280,408.5,233.5
3011,IHIS ,361,282,401,241
370,CCECE ,334,309,408.5,233.5
3077,UDM ,357,286,401,241
2022,ICSSSM ,345,298,401,241
2205,WISA ,336,307,401,241
1682,ICCSIT ,333,310,401,241
3051,VLDBW ,371,271,395,247
2197,APWEB ,347,296,401,241
3136,MMGPS ,341,302,395,247
3004,TAPD ,343,300,401,241
3080,AGDM ,352,291,390,252
3059,Database Machine Performance,417,225,390,252
3108,Mobile Datenbanken und Informationssysteme,350,293,395,247
2025,NAFIPS ,340,303,395,247
1934,CollaborateCom ,362,281,395,247
3113,KDXD ,331,312,390,252
223,ACM/CSC,388,254,381,261
393,ICEGOV ,317,326,381,261
3083,EVOTING ,303,340,381,261
3076,Computer Supported Acitivity Coordination,435,207,475.5,166.5
3127,TELECARE ,323,320,390,252
2957,Workshop Mobile Commerce /Mobile Commerce Technologien und Anwendungen,461,181,474,168
2933,JCDKB ,522,120,471.5,170.5
3062,DAMON ,499,143,471.5,170.5
1828,MASS ,290,353,381,261
203,Dagstuhl Seminars,459,183,372.5,269.5
2140,SISAP ,338,305,390,252
2937,PSSS ,437,205,385.5,256.5
2141,IMS ,404,238,385.5,256.5
3122,PGL DataBase Research Conference,324,319,385.5,256.5
3014,CLEANDB ,374,268,372.5,269.5
1728,ICCSN ,302,341,385.5,256.5
1686,IPDPS ,369,273,372.5,269.5
3020,The CHOROCHRONOS Approach,409,233,381,261
3042,SOSE ,342,301,372.5,269.5
3088,GBPM ,330,313,372.5,269.5
2698,DB&IS ,322,321,372.5,269.5
3111,PARMA ,344,299,372.5,269.5
1596,FCST ,293,350,372.5,269.5
2482,CLOUD ,326,317,372.5,269.5
3118,TCOB ,307,336,372.5,269.5
321,CIS ,298,345,372.5,269.5
1609,ICIS ,291,352,372.5,269.5
1592,CSIE ,306,337,361.5,280.5
3084,TFAIS ,359,284,361.5,280.5
1676,ICISA ,283,360,361.5,280.5
1392,PDIS ,525,117,350,292
18,AC ,546,96,350,292
3033,Infrastructure for Dynamic Business,365,278,361.5,280.5
3115,Datenbanktechnologie,294,349,350,292
1425,IEEE ICMIT ,308,335,361.5,280.5
1605,ICCC ,273,370,350,292
2525,MDMW ,296,347,350,292
1610,IMSCCS ,304,339,361.5,280.5
542,Fall Joint Computer Conference,380,262,350,292
1769,MINES ,269,374,350,292
1618,ICCAE ,300,343,361.5,280.5
3090,EXPDB ,335,308,350,292
1758,ICMWI ,268,375,350,292
2028,CyberC ,288,355,361.5,280.5
2415,NWeSP ,311,332,350,292
1623,ICIECS ,263,380,350,292
2026,COMPSACW ,287,356,361.5,280.5
1668,PacRim ,305,338,350,292
1628,ICCRD ,260,383,350,292
1701,ICCIT ,279,364,361.5,280.5
4,STOC ,568,74,336,306
60,IJCAI ,530,112,336,306
2476,WECWIS ,349,294,336,306
332,IADIS ,301,342,336,306
812,WSKS ,277,366,336,306
2631,AMIGE ,276,367,336,306
398,MEDES ,292,351,336,306
854,AoM Annual Meeting ,378,264,318,324
1708,ISSNIP ,262,381,336,306
1948,VL ,356,287,318,324
2296,NOMS ,226,417,295,347
2195,WISM ,250,393,336,306
2198,HPCASIA ,258,385,318,324
2011,WiMob ,285,358,336,306
2565,SIGSMALL/PC ,280,363,318,324
2467,NAS ,264,379,336,306
