530866727	interspeech_0	16215	16000.037522111124509925750855	1	15061
75515881	iscas_0	15517	15456.926028834195350181982701	2	21986
-1592982495	icip_0	15121	14731.066774935616404151075963	3	19730
-322710556	icra_0	13691	13864.869494777790530659911225	4	18102
-208891384	icc_0	12453	12475.435353811398884033602108	5	18650
1013144468	globecom_0	10979	11182.801031469873161543686696	6	16394
-1802745912	hicss_0	9696	9696.735667301988134344983116	7	14258
-892279610	igarss_0	9689	10608.507394864034781490860948	8	16100
-1704132016	chi_0	8737	9506.205407146660866351373847	9	13215
-176451029	vtc_0	8309	8649.535779536341983061026936	10	13062
-99425082	icassp_0	8294	8292.705644517782269501757280	11	12439
-786710589	iros_0	7904	8394.747691364049817726911888	12	13094
-195915058	smc_0	7561	7618.4909953858129981870892206	13	13850
-765465938	icpr_0	6968	6829.6721672859593726801406003	14	11370
1234037422	ipps_0	6621	6729.3721307514424034665095321	15	11629
-174288310	wsc_0	6458	6366.0647928052988209912436384	16	8391
1173773799	icmcs_0	6423	6560.2663880490314403460291013	17	11500
-1727921189	hci_0	6322	6364.9900779521376306566012787	18	12417
-211054498	cdc_0	6233	6081.0743043464745720114524382	19	7852
-805460159	aaai_0	5988	5687.6293245802147177307295483	20	8061
-74664634	infocom_0	5894	5956.0216906268870428885066993	21	7808
-204566403	dac_0	5887	6022.4449515055307388160247814	22	9199
69683167	ijcai_0	5635	5160.0504292203053357404251030	23	7369
-1007532543	amcis_0	5482	5268.9686944460910922892834564	24	6982
-735254216	cvpr_0	5229	5187.0888010812156144877429190	25	6600
-204565810	sac_0	5172	5166.9533229083123291021269783	26	10565
1976781542	wcnc_0	5153	5213.6682179107407070918948309	27	9287
1210378579	nips_0	4883	4689.2589099780736489989505594	28	5856
310920651	gecco_0	4840	4690.6722255982192279372186551	29	6026
-331986980	ijcnn_0	4572	4544.8063029532640204041032346	30	8189
73919236	fskd_0	4482	4341.1677002172591710681531503	31	9475
1605839000	gi_0	4349	4015.9333596590690654691589581	32	7020
-925677546	kes_0	4280	4249.3223585485581440967840367	33	7579
-1314629665	iceis_0	4083	4069.2553279579994665711997844	34	7446
79739781	date_0	4065	4287.6022152677594740625209714	35	7476
-176451064	itc_0	4047	4013.0426595159534947489192138	36	5577
-972516817	iccS_0	3891	3948.2591250034192734974621173	37	7937
1641498751	icse_0	3811	3826.5583054759531427244884615	38	5571
-1069457730	pimrc_0	3811	3863.4748748632058648197680131	38	7267
-120073158	miccai_0	3778	4537.7184715308528189680830128	39	7707
787875530	icde_0	3749	3924.3377783063437769365989061	40	6135
-213217186	cec_0	3662	3737.3226388608846944604709371	41	6009
-1835644969	iccsa_0	3554	3608.6930557204872060375138705	42	6998
1605576866	mm_0	3496	3719.5469914926664773914222406	43	6313
-2131206045	acl_0	3489	3191.6790543083503057226600088	44	4163
-748360735	cikm_0	3474	3612.8387430249005119806459863	45	6433
798730049	atal_0	3457	3508.3371961904410522103797314	46	4146
1951604116	isbi_0	3450	3945.1250554194812426423031890	47	7808
-1316563702	coling_0	3287	3028.8156214869014183773352342	48	4493
-19004947	ecis_0	3267	3283.7149729683389079227601079	49	4399
-1916319376	aina_0	3242	3340.1162840222565682097676399	50	6771
-383128914	icpp_0	3239	3094.8523671444482044919554321	51	5093
1976781608	icnc_0	3228	3170.4622831146005785042317456	52	7486
2129683146	cmg_0	3128	2902.5104985915070985526382373	53	2119
817646376	isnn_0	3111	3103.4104030095168639275324753	54	5952
-357008632	lrec_0	3101	3511.5051244221893027232919376	55	5412
-240378149	dagstuhl_0	3081	2851.6850936404047160963570368	56	4975
1430199046	www_0	3072	3326.9562343715939624931934516	57	6397
-1041739738	sigcse_0	3064	3220.0626224477506160569870370	58	4275
-438231619	pdpta_0	3049	2942.8920892057331471925298562	59	5759
627527698	sigmod_0	3042	3261.5316010978445397332664790	60	4599
-1564055530	sigir_0	2999	2949.6582165449720253027969588	61	4019
1969816609	isit_0	2943	2837.0526307836924352118150487	62	2989
562108731	robio_0	2886	3090.8381250691571091119861097	63	6319
1819798403	europar_0	2880	2959.2293099438908507537846113	64	5426
1508675548	focs_0	2830	2615.1185292507572897837932756	65	2345
38815698	iccad_0	2812	2822.2732247392183991433774803	66	4109
-348309520	icalp_0	2804	2579.6062677968770376785816977	67	3139
-1603664863	ifip_0	2796	2381.6600970301665448947358207	68	4121
-809785659	ecai_0	2731	2500.6604480354733096548757415	69	4226
-348309524	icalt_0	2727	2789.7398355867779052320723245	70	4684
-1502339711	fuzzIEEE_0	2723	2692.1041164694396251605757339	71	4564
-1220964357	eccv_0	2699	2656.9604375377391686081308183	72	4377
-19004383	icis_0	2694	2780.9335733058898722666730869	73	3766
445235197	stoc_0	2686	2519.3952913666971148969971061	74	2139
-1561405811	icml_0	2675	2471.6682454563318075012326204	75	3344
-395318699	compsac_0	2674	2621.3912114654294254125467211	76	5029
1605183660	sc_0	2631	2967.6847800115195234410608091	77	6142
1561200388	soda_0	2630	2556.1762740245606037556531244	78	2732
-1977743670	icdm_0	2611	2721.8029932467987409503203058	79	5161
1118462871	aspdac_0	2577	2672.4456041779418028730316781	80	5021
-1220963793	iccv_0	2557	2467.1555346151540071558746717	81	3785
1926453682	iconip_0	2553	2520.8914299980767694117825132	82	4958
-692198212	ieaaie_0	2513	2483.5617637797835560204482405	83	5200
-768866649	vldb_0	2490	2526.7466670377145842361857181	84	3639
1335052344	siggraph_0	2476	2610.8961277847653985598471575	85	4773
-80529434	icann_0	2452	2341.1429931264937837363329429	86	4141
1217266721	icic_0	2435	2424.6061572301603686658971663	87	5114
