Kendal Tau=0.931222294842895
idConference, conferenceName, curRank, curValue, oldRank, NPC
530866727,interspeech_0,1,16215,1,16000.0375221111
-322710556,icra_0,4,13691,4,13864.8694947778
-208891384,icc_0,5,12453,5,12475.4353538114
1013144468,globecom_0,6,10979,6,11182.8010314699
-1802745912,hicss_0,7,9696,8,9696.73566730199
-892279610,igarss_0,8,9689,7,10608.507394864
-1704132016,chi_0,9,8737,9,9506.20540714666
-176451029,vtc_0,10,8309,10,8649.53577953634
-99425082,icassp_0,11,8294,12,8292.70564451778
-786710589,iros_0,12,7904,11,8394.74769136405
-195915058,smc_0,13,7561,13,7618.49099538581
-765465938,icpr_0,14,6968,14,6829.67216728596
1234037422,ipps_0,15,6621,15,6729.37213075144
-1727921189,hci_0,18,6322,18,6364.99007795214
-174288310,wsc_0,16,6458,17,6366.0647928053
1173773799,icmcs_0,17,6423,16,6560.26638804903
-211054498,cdc_0,19,6233,19,6081.07430434647
-805460159,aaai_0,20,5988,22,5687.62932458021
-74664634,infocom_0,21,5894,21,5956.02169062689
-204566403,dac_0,22,5887,20,6022.44495150553
-735254216,cvpr_0,25,5229,25,5187.08880108122
69683167,ijcai_0,23,5635,27,5160.05042922031
-204565810,sac_0,26,5172,26,5166.95332290831
-1007532543,amcis_0,24,5482,23,5268.96869444609
75515881,iscas_0,2,15517,2,15456.9260288342
1976781542,wcnc_0,27,5153,24,5213.66821791074
1210378579,nips_0,28,4883,29,4689.25890997807
310920651,gecco_0,29,4840,28,4690.67222559822
-331986980,ijcnn_0,30,4572,30,4544.80630295326
-1314629665,iceis_0,34,4083,35,4069.255327958
73919236,fskd_0,31,4482,32,4341.16770021726
79739781,date_0,35,4065,33,4287.60221526776
1605839000,gi_0,32,4349,36,4015.93335965907
-176451064,itc_0,36,4047,37,4013.04265951595
-925677546,kes_0,33,4280,34,4249.32235854856
-972516817,iccS_0,37,3891,38,3948.25912500342
-1069457730,pimrc_0,38.5,3811,41,3863.47487486321
-1835644969,iccsa_0,43,3554,46,3608.69305572049
1641498751,icse_0,38.5,3811,42,3826.55830547595
1605576866,mm_0,44,3496,44,3719.54699149267
-2131206045,acl_0,45,3489,54,3191.67905430835
798730049,atal_0,47,3457,48,3508.33719619044
1951604116,isbi_0,48,3450,39,3945.12505541948
-120073158,miccai_0,40,3778,31,4537.71847153085
-748360735,cikm_0,46,3474,45,3612.8387430249
787875530,icde_0,41,3749,40,3924.33777830634
-213217186,cec_0,42,3662,43,3737.32263886088
-1316563702,coling_0,49,3287,59,3028.8156214869
-19004947,ecis_0,50,3267,51,3283.71497296834
1976781608,icnc_0,53,3228,55,3170.4622831146
-1916319376,aina_0,51,3242,49,3340.11628402226
-240378149,dagstuhl_0,57,3081,65,2851.6850936404
2129683146,cmg_0,54,3128,64,2902.51049859151
-383128914,icpp_0,52,3239,57,3094.85236714445
1430199046,www_0,58,3072,50,3326.95623437159
817646376,isnn_0,55,3111,56,3103.41040300952
-1041739738,sigcse_0,59,3064,53,3220.06262244775
-357008632,lrec_0,56,3101,47,3511.50512442219
-438231619,pdpta_0,60,3049,63,2942.89208920573
627527698,sigmod_0,61,3042,52,3261.53160109784
-1564055530,sigir_0,62,2999,62,2949.65821654497
1969816609,isit_0,63,2943,66,2837.05263078369
562108731,robio_0,64,2886,58,3090.83812506916
1819798403,europar_0,65,2880,61,2959.22930994389
1508675548,focs_0,66,2830,75,2615.11852925076
-1603664863,ifip_0,69,2796,88,2381.66009703017
-809785659,ecai_0,70,2731,82,2500.66044803547
38815698,iccad_0,67,2812,67,2822.27322473922
-348309524,icalt_0,71,2727,68,2789.73983558678
-348309520,icalp_0,68,2804,77,2579.60626779688
-1502339711,fuzzIEEE_0,72,2723,71,2692.10411646944
-395318699,compsac_0,77,2674,74,2621.39121146543
-1220964357,eccv_0,73,2699,73,2656.96043753774
1605183660,sc_0,78,2631,60,2967.68478001152
-19004383,icis_0,74,2694,69,2780.93357330589
1561200388,soda_0,79,2630,78,2556.17627402456
445235197,stoc_0,75,2686,81,2519.3952913667
-1977743670,icdm_0,80,2611,70,2721.8029932468
-1561405811,icml_0,76,2675,84,2471.66824545633
1118462871,aspdac_0,81,2577,72,2672.44560417794
-1220963793,iccv_0,82,2557,85,2467.15553461515
1926453682,iconip_0,83,2553,80,2520.89142999808
-692198212,ieaaie_0,84,2513,83,2483.56176377978
-768866649,vldb_0,85,2490,79,2526.74666703771
-883301194,icarcv_0,89,2320,91,2326.75764875936
1335052344,siggraph_0,86,2476,76,2610.89612778477
-1526164945,iscc_0,90,2295,93,2300.54401946655
-80529434,icann_0,87,2452,90,2341.14299312649
-1777138079,kdd_0,91,2286,87,2404.9101356129
1217266721,icic_0,88,2435,86,2424.60615723016
-968406434,lcn_0,92,2283,94,2280.73956377893
1264913829,vlsid_0,93,2280,95,2269.16857725857
1610557732,icdcs_0,94,2276,96,2247.61483233
1631429753,bmvc_0,97,2241,102,2132.83485531423
-440439065,dexaw_0,95,2266,99,2206.47931811183
1342777635,icdar_0,98,2239,98,2206.51242086419
-1545081396,etfa_0,96,2263,89,2346.48522900977
643130444,oopsla_0,99,2220,92,2324.16286199977
-576388297,webnet_0,100,2144,103,2059.94577556033
397644335,iccd_0,101,2143,101,2143.44190058029
-2090115074,fpl_0,105,2113,100,2162.71259630677
731331786,ictai_0,106,2081,105,2021.36798232833
-1083189519,birthday_0,102,2119,115,1872.09314191024
1606297754,er_0,107,2015,111,1933.92651245645
724597276,ifip12_0,103,2116,97,2234.6966899265
1993403793,seke_0,108,2013,107,2005.02391152834
1489342899,mfcs_0,104,2114,121,1830.33986086266
1918264070,dagm_0,109,2011,116,1867.27146250911
630117696,otm_0,110,2009,104,2058.45815841243
721085044,flairs_0,121,1817,125,1763.2720458732
-899725650,cis_0,111,2007,110,1934.20111960058
-1723595650,uai_0,122,1815,132,1674.96248062903
1585055434,isda_0,112,2006,106,2015.70231944277
269137185,IEEEcit_0,123,1812,120,1838.43571979088
-1846066111,dexa_0,113,1973,109,1942.86921855294
1637858079,siguccs_0,124,1794,127,1746.08405796012
-811582445,afips_0,114,1955,119,1846.53836726475
-1688962482,icinco_0,125,1768,126,1758.71700967334
-1019852592,pacis_0,115,1937,114,1893.34788154238
1486256734,iticse_0,126,1753,131,1684.93669341667
-208891779,dcc_0,127,1716,135,1589.90192464129
35218778,icpads_0,116,1911,112,1919.53956927055
-51955738,iwann_0,117,1875,123,1813.63177323415
-1990404841,cbms_0,128,1714,117,1862.18469904984
-1263385008,cscwd_0,118,1869,113,1903.1741977392
1402664362,semweb_0,119.5,1825,108,1952.52203708734
-391365533,caise_0,119.5,1825,122,1825.53170308984
1811856627,iat_0,129,1680,129,1686.9640166512
1606035622,iv_0,130,1622,134,1597.95679416275
-1996267022,iclp_0,131,1615,159,1410.53085329836
-1343575986,mva_0,132,1607,143,1548.30768797765
623589429,stacs_0,137,1570,156,1431.47949183486
24270407,ccece_0,138,1562,137,1569.54337009333
1602440899,pakdd_0,139,1558,139,1564.70159196908
-2122151863,ACMse_0,133,1591,153,1456.09814454106
1246645032,itng_0,140,1556,138,1569.44771402799
1674004233,csse_0,134,1583,146,1518.35535346236
750203695,iih-msp_0,141,1548,142,1549.36615295429
-1143827921,isca_0,135,1574,133,1638.43492465441
-1122763252,isqed_0,142,1540,136,1570.54875696194
-1985482659,biostec_0,136,1571,128,1718.25374604974
-809785095,icai_0,143,1519,154,1450.16995672443
-357008384,trec_0,144,1516,118,1862.1087901814
357840867,isaac_0,153,1440,167,1356.29832924426
-468170791,iwcmc_0,145,1501,141,1553.95431732954
-732632626,interact_0,154,1439,149,1477.80189637258
1509266028,bildmed_0,146,1488,130,1685.52396896852
-895225530,percom_0,155,1430,148,1481.61611561429
597677903,pcm_0,147,1482,145,1522.52494693141
-1940648439,issac_0,156,1418,172,1306.31395552077
306595804,icccn_0,148,1476,150,1466.46101656822
358381088,compgeom_0,157,1416,164,1384.38873080034
1178863585,podc_0,149,1473,161,1393.11952191883
262389135,evoW_0,158,1413,158,1419.17858634658
-921352530,ccs_0,150,1463,140,1558.7329834824
597677310,acm_0,151,1449,176,1293.35088526957
236543447,icmlc_0,152,1442,151,1459.66674008388
-43829870,esann_0,159,1405,170,1317.7870740451
-1138487871,dasfaa_0,160,1401,157,1424.56688968978
-778208411,icee_0,161,1392,195,1221.35909809034
1914772818,webi_0,162,1386,160,1395.47536062266
-1153234975,pkdd_0,177,1306,178,1285.23873055807
-1220964233,accv_0,163,1385,166,1374.85883082617
1145755287,islped_0,178,1301,171,1307.70502418948
1526692238,bmei_0,164,1378,144,1547.12104603649
767856825,cscw_0,179.5,1297,162,1390.44792090768
1653057104,isvc_0,165,1371,163,1388.61177466813
-1181803797,icws_0,179.5,1297,165,1381.78127586957
-57857952,tools_0,166,1352,201,1192.74141742729
-346876923,sigmetrics_0,181,1293,180,1272.9408958512
-899725255,his_0,167,1344,175,1294.81098987618
101378792,snpd_0,182,1291,183,1264.39773241429
-1520677312,ccgrid_0,168,1343,155,1441.88374275292
-520230032,pdp_0,183,1286,179,1283.70801132721
1626467269,popl_0,169,1341,186,1261.39071256573
-1979722446,noms_0,184,1280,168,1326.05574236474
1195342319,clef_0,170,1340,147,1486.44643839549
-1936323529,ausai_0,171,1339,174,1298.63778470239
-918918819,glvlsi_0,172,1338,169,1321.63401753039
601372335,naacl_0,173,1323,184,1262.1722122726
360908331,jcdl_0,174,1321,152,1458.73485870137
-1124120449,icsm_0,175,1318,173,1301.10600331808
1816910533,euromicro_0,176,1307,187,1259.01816831914
-467654672,icoin_0,185,1269,177,1288.98344620396
792200532,cade_0,186,1262,213,1162.65854145926
1606428828,cp_0,187.5,1259,199,1194.95591202685
1519555026,lics_0,201,1202,235,1110.84420284934
-1398993855,apsec_0,187.5,1259,188,1251.83136997335
-237152304,ideal_0,202.5,1195,208,1174.10485977537
1605839012,ki_0,189,1258,233,1117.43892964684
-1451297899,icdcsw_0,190,1248,181,1266.03998559428
1851133664,visapp_0,202.5,1195,212,1167.56662473694
-595721399,webist_0,191,1242,189,1243.03873510668
-921352104,ics_0,204,1191,211,1167.85697932813
-1289857676,emeit_0,192,1241,198,1207.13523316872
-128426522,ismir_0,205,1190,204,1183.36219126509
165121125,crypto_0,193,1234,210,1169.59005504137
-172126246,grc_0,206,1187,224,1140.31084620424
-888911749,vts_0,194,1231,190,1241.83937131956
-530096680,ismvl_0,207.5,1185,245,1087.82629047895
1639466945,kbse_0,195,1225,192,1239.77860329093
-1672868343,isscc_0,207.5,1185,124,1782.25743339877
1470643704,iciap_0,196,1224,203,1184.92994529157
284109092,iadis_0,209,1183,223,1141.19395513827
1605642409,vl_0,197,1220,219,1146.67124512609
-1465721117,networking_0,210,1181,202,1190.88395152229
-208891942,gcc_0,198,1219,182,1264.98401388242
236543445,icmla_0,211,1179,209,1171.87412627107
